rating,date,context,year,context_cleaned,text_len,word_count,rating_group,is_positive,month,day,weekday,weekday_num,year_month,text_has_emoji,text_has_url,tfidf_vector_1,tfidf_vector_2,tfidf_vector_3,tfidf_vector_4,tfidf_vector_5,tfidf_vector_6,tfidf_vector_7,tfidf_vector_8,tfidf_vector_9,tfidf_vector_10,tfidf_vector_11,tfidf_vector_12,tfidf_vector_13,tfidf_vector_14,tfidf_vector_15,tfidf_vector_16,tfidf_vector_17,tfidf_vector_18,tfidf_vector_19,tfidf_vector_20,top_keywords
5.0,2026-01-15,"잘 놀고 왔습니다! 저희는 1월 6일에 동물원 위주로 놀고 왔어요~ 사람이 많지 않아서 기구 탈 때도 오래 기다리지 않고 좋았어요!
하지만 겨울에 운영하지 않는 기구가 많아서 아이들이 조금 아쉬워하긴 했어요^^;",2026,잘 놀고 왔습니다! 저희는 1월 6일에 동물원 위주로 놀고 왔어요~ 사람이 많지 않아서 기구 탈 때도 오래 기다리지 않고 좋았어요! 하지만 겨울에 운영하지 않는 기구가 많아서 아이들이 조금 아쉬워하긴 했어요^^;,118,28,높음(4-5),1,1,15,Thursday,3,2026-01,1,0,0.07579112015816714,-0.011770721560221074,-0.006873194253828536,-0.0014314461068915135,0.2011280309918791,-0.12536970695851915,-0.21253225714168467,0.05061979345740219,-0.20868985143612506,-0.14495744962389476,0.20503467370960976,-0.049238450063423256,-0.1453571652580435,-0.016876601211456566,-0.06093393682973954,0.10429658365210331,-0.003179589713151369,0.05674759966985696,0.06988567335455435,0.06456832359414964,"놀고, 조금, 아이들이, 많아서, 좋았어요"
5.0,2026-01-10,앙!앙!○○○○재@밋당¡¡헤응...다리에..힘이풀려..(놀이기구를너무맣이탓기때문에).ㅎ,2026,앙!앙!○○○○재@밋당¡¡헤응...다리에..힘이풀려..(놀이기구를너무맣이탓기때문에).ㅎ,48,5,높음(4-5),1,1,10,Saturday,5,2026-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,2026-01-07,푸바오 잘가ㅠㅠ,2026,푸바오 잘가ㅠㅠ,8,2,높음(4-5),1,1,7,Wednesday,2,2026-01,1,0,0.1763498935683809,-0.051850668895779176,-0.4353396278754462,0.8666237757201748,-0.058360616323402406,-0.018519150648158587,-0.0368007301204567,-0.006013261534853734,0.03586341984293317,0.017650839306183594,0.0225806369294536,0.07360956019764629,0.004258816085799146,0.014561283788060026,0.01872272216917188,-0.030957135810344257,0.0034715670172949286,0.01947304616258533,0.0026371081817956016,-0.007959737114324673,푸바오
1.0,2026-01-05,바오바오 푸바오 ㅗㅗㅗㅗㅗ,2026,바오바오 푸바오 ㅗㅗㅗㅗㅗ,14,3,낮음(1-2),0,1,5,Monday,0,2026-01,1,0,0.1763498935683809,-0.051850668895779176,-0.4353396278754462,0.8666237757201748,-0.058360616323402406,-0.018519150648158587,-0.0368007301204567,-0.006013261534853734,0.03586341984293317,0.017650839306183594,0.0225806369294536,0.07360956019764629,0.004258816085799146,0.014561283788060026,0.01872272216917188,-0.030957135810344257,0.0034715670172949286,0.01947304616258533,0.0026371081817956016,-0.007959737114324673,푸바오
1.0,2025-12-28,"더이상 발전이 없는 파크 
심각한 노후화 사람들이 다 경주월드가는 이유를 알거같음",2025,더이상 발전이 없는 파크 심각한 노후화 사람들이 다 경주월드가는 이유를 알거같음,44,10,낮음(1-2),0,12,28,Sunday,6,2025-12,1,0,0.025391157836263188,-0.01240522727467549,0.03862944918306351,0.015155964399175256,0.056049380597145614,0.018273576605658655,-0.00420004339801588,0.10777766372130422,-0.1462140610951105,0.022061490972561996,0.0010130807525244318,0.010773990179910441,-0.04531894405737792,-0.018458114024625192,-0.020789830786882058,0.10372733037945843,0.06872793415834495,-0.14318959444736895,0.12449727512047765,-0.05919404600420028,사람들이
5.0,2025-12-20,"아이바오 후이루이 보고 왔음!!
앵무새 춤 기깔남!!
동물 구경하다 보니까 시간이 금방가는데
놀이기구는 범퍼카랑 T익스 탄 기억밖에 없다 ㅋㅎ",2025,아이바오 후이루이 보고 왔음!! 앵무새 춤 기깔남!! 동물 구경하다 보니까 시간이 금방가는데 놀이기구는 범퍼카랑 T익스 탄 기억밖에 없다 ㅋㅎ,79,17,높음(4-5),1,12,20,Saturday,5,2025-12,1,0,0.05968634103010322,0.0037703649203828645,-0.013112882528690936,-0.007204235903820685,0.10157223533328248,0.04006878503730086,-0.0005431515830428979,0.12369070890822689,-0.13011623837727754,-0.05823992637745159,0.0008540270087819942,0.1983049322197752,0.05417756851617192,0.09973287127396062,-0.4009316352559313,-0.024388408324775856,0.08619295351346934,0.13801002878429586,-0.12268222016100278,0.026959378571407126,"동물, 시간이, 놀이기구는, 보고"
1.0,2025-12-17,식음 매장 중 한가람이라는 매장의 여자 점장이 직원들끼리의 사내 괴롭힘에 동조하고 본인 실적에 영향 미칠까봐 한가람에서 퇴사 의사를 밝힌 직원들을 다른 매장으로 보내는 행위를 지속적으로 했음. 그리고 한가람에 배정된 첫날부터 직원들한테 고래고래 소리지르고 직원들을 차별하며 사내 괴롭힘을 당하는 직원을 보고도 막지는 못할망정 동조함. 본사에 신고해서 해장 여자 점장 인사 조치 받았다고 연락 받음. 에버랜드는 돈에 눈이 멀어서 직원들 기본적인 인권은 관심 없는듯. 그걸 알기에 손님으로도 안감. 그리고 시설 너무 노후화됐음. 아마존 타면서 기구 운행 도중 커버가 떨어져서 바지가 거의 그냥 빨래한것마냥 다 젖어서 돌아다닐 수 없을 정도로 많이 젖었고 얼마나 물이 더러우면 젖은 부분이 그자리에서 누렇게 변색함. 그거 보고 충격 받음. 그 더러운 물이 얼굴에도 튀는데 진짜 상상도 하기 싫음. 에버랜드 하는거보면 앞으로도 갈일 없을듯,2025,식음 매장 중 한가람이라는 매장의 여자 점장이 직원들끼리의 사내 괴롭힘에 동조하고 본인 실적에 영향 미칠까봐 한가람에서 퇴사 의사를 밝힌 직원들을 다른 매장으로 보내는 행위를 지속적으로 했음. 그리고 한가람에 배정된 첫날부터 직원들한테 고래고래 소리지르고 직원들을 차별하며 사내 괴롭힘을 당하는 직원을 보고도 막지는 못할망정 동조함. 본사에 신고해서 해장 여자 점장 인사 조치 받았다고 연락 받음. 에버랜드는 돈에 눈이 멀어서 직원들 기본적인 인권은 관심 없는듯. 그걸 알기에 손님으로도 안감. 그리고 시설 너무 노후화됐음. 아마존 타면서 기구 운행 도중 커버가 떨어져서 바지가 거의 그냥 빨래한것마냥 다 젖어서 돌아다닐 수 없을 정도로 많이 젖었고 얼마나 물이 더러우면 젖은 부분이 그자리에서 누렇게 변색함. 그거 보고 충격 받음. 그 더러운 물이 얼굴에도 튀는데 진짜 상상도 하기 싫음. 에버랜드 하는거보면 앞으로도 갈일 없을듯,465,111,낮음(1-2),0,12,17,Wednesday,2,2025-12,1,0,0.34326359180780464,0.05981133378506687,-0.022990569122823233,-0.05790436207198447,0.344179983176868,0.25327225771160794,0.25324881366914964,-0.04057662069298962,0.043457281603666055,-0.062457454557927915,-0.15075086832370696,0.3061197397394658,0.04777686650941633,-0.06658332540976376,-0.00814245299594519,-0.005873111118326342,0.10303896665223844,0.022178021793355377,0.09071822883836402,0.08016248322045023,"그리고, 거의, 다른, 아마존, 그냥"
4.0,2025-12-14,크고 뭐가 없는 놀이공원,2025,크고 뭐가 없는 놀이공원,13,4,높음(4-5),1,12,14,Sunday,6,2025-12,1,0,0.016486979815855812,-0.007290770437514075,-0.0015150494074470556,-0.006803853251287805,0.0541804053623529,0.004383143927977905,-0.038321488989063374,0.015044603763155875,-0.02765948130069195,0.0562305296394953,0.038520545638467955,0.019098226421331747,0.029286097672718614,0.062255211684799465,-0.01242128544550325,-0.04326534427282606,-0.024135022038136507,-0.0731106353920286,-0.050415434752824416,-0.08266279497752786,놀이공원
5.0,2025-12-13,"너무너무 좋고, 케데헌존도 있어서 재밌었어요",2025,"너무너무 좋고, 케데헌존도 있어서 재밌었어요",24,5,높음(4-5),1,12,13,Saturday,5,2025-12,1,0,0.03616542060199424,0.00805414808140748,0.024239586851451576,0.02196468657350484,0.13260518101073474,0.0020144220470163445,0.08469277757091005,0.07474506747132531,-0.20698810499619766,0.4955561150420727,0.07370329001025823,-0.09637491847819425,-0.15109725164282437,-0.17800769574748412,0.13049917016659868,0.0010450443041533659,0.10194925520835262,-0.14673574379090887,-0.22183209595006007,0.10759060299033965,"재밌었어요, 좋고, 있어서"
4.0,2025-12-10,에버랜드 진짜재밋었어요,2025,에버랜드 진짜재밋었어요,12,2,높음(4-5),1,12,10,Wednesday,2,2025-12,1,0,0.5216655298069778,0.8245029077795634,-0.00241940657274414,-0.0728383837197542,-0.1374578333419859,-0.005936119281692944,-0.030196494508423148,-0.06775635003633677,0.03442488061230526,-0.003719805677041135,0.02853156317783283,0.001820811987837682,-0.021662546499858985,-0.05042346422425927,-0.0150083087154129,-0.03611840863291782,0.004075724260386761,-0.026654950003561037,0.02419142068626451,0.004016117668670841,에버랜드
