rating,date,content
5.0,2026.01.15.,"잘 놀고 왔습니다! 저희는 1월 6일에 동물원 위주로 놀고 왔어요~ 사람이 많지 않아서 기구 탈 때도 오래 기다리지 않고 좋았어요!
하지만 겨울에 운영하지 않는 기구가 많아서 아이들이 조금 아쉬워하긴 했어요^^;"
5.0,2026.01.10.,앙!앙!○○○○재@밋당¡¡헤응...다리에..힘이풀려..(놀이기구를너무맣이탓기때문에).ㅎ
5.0,2026.01.07.,푸바오 잘가ㅠㅠ
1.0,2026.01.05.,바오바오 푸바오 ㅗㅗㅗㅗㅗ
1.0,2025.12.28.,"더이상 발전이 없는 파크 
심각한 노후화 사람들이 다 경주월드가는 이유를 알거같음"
5.0,2025.12.25.,👍👍
5.0,2025.12.20.,"아이바오 후이루이 보고 왔음!!
앵무새 춤 기깔남!!
동물 구경하다 보니까 시간이 금방가는데
놀이기구는 범퍼카랑 T익스 탄 기억밖에 없다 ㅋㅎ"
1.0,2025.12.17.,식음 매장 중 한가람이라는 매장의 여자 점장이 직원들끼리의 사내 괴롭힘에 동조하고 본인 실적에 영향 미칠까봐 한가람에서 퇴사 의사를 밝힌 직원들을 다른 매장으로 보내는 행위를 지속적으로 했음. 그리고 한가람에 배정된 첫날부터 직원들한테 고래고래 소리지르고 직원들을 차별하며 사내 괴롭힘을 당하는 직원을 보고도 막지는 못할망정 동조함. 본사에 신고해서 해장 여자 점장 인사 조치 받았다고 연락 받음. 에버랜드는 돈에 눈이 멀어서 직원들 기본적인 인권은 관심 없는듯. 그걸 알기에 손님으로도 안감. 그리고 시설 너무 노후화됐음. 아마존 타면서 기구 운행 도중 커버가 떨어져서 바지가 거의 그냥 빨래한것마냥 다 젖어서 돌아다닐 수 없을 정도로 많이 젖었고 얼마나 물이 더러우면 젖은 부분이 그자리에서 누렇게 변색함. 그거 보고 충격 받음. 그 더러운 물이 얼굴에도 튀는데 진짜 상상도 하기 싫음. 에버랜드 하는거보면 앞으로도 갈일 없을듯
4.0,2025.12.14.,크고 뭐가 없는 놀이공원
5.0,2025.12.13.,"너무너무 좋고, 케데헌존도 있어서 재밌었어요"
5.0,2025.12.13.,존잼
4.0,2025.12.10.,에버랜드 진짜재밋었어요
4.0,2025.12.08.,"규모에 비해 적은 화장실 아쉽;;
T 익스프레스 최고(이거 타려고 와야할 정도), 동글뱅이 의자? 사람들 앉고 다니는데 차라리 대여업으로 빌렸다 반납식으로 했으면 하는 아쉬움이 있음(솔직히 놀이공원 말고 쓸때가..., 계속 서 있어서 다리 아픔 ㅠ)"
4.0,2025.12.07.,"옛날에는 이정도 테마파크도 재미있었는데, 8년만에 다시와서, 처음으로 티익스를 탔는데, 티익스를 먼저 타서 인지…. 다른 피터팬,썬더폴스 가 재미가 없더라구요. 타기전에 살짝 긴장 된다 그정도고 딱히….? 그래도, 티익스 하나는 재미있었습니다. 대기 2시간30분이라는게 좀…. 그리고, 퍼레이드도 좋았어요. 퍼레이드와, 티익스 요거 2개는 더 할말이 없을거 같네요.

그리고, 에버랜드도 경주월드처럼 좀 어드벤처 한 놀이기구를 도입을 하면 좋겠네요 삼성 이라는 백(background)도 있는데… 그러면, 더할나위 없는 테마파크가 될거 같네요."
2.0,2025.11.30.,"소중한 사람들과 좋은 추억을 만들어가기에 좋은 곳!
다만 물가가 엄청 비싸고 혼잡도 관리가 잘 되지 않습니다"
5.0,2025.11.30.,오랜만에 방문해도 행복한 추억 가득만들게되는 장소
5.0,2025.11.27.,"여기가 가본 놀이동산중에서 가장 좋은 곳
🐧🐧🐧🐧🐧🐧🐧"
